INFO 2025-03-18 06:38:05,607 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 06:38:08,231 base Session data corrupted
INFO 2025-03-18 06:38:08,231 captcha Generated CAPTCHA text: M3DMN
INFO 2025-03-18 06:38:08,275 auth_views Generated CAPTCHA for login form: M3DMN$_
INFO 2025-03-18 06:38:08,283 basehttp "GET /login/ HTTP/1.1" 200 91152
INFO 2025-03-18 06:38:08,304 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:38:08,304 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:38:08,306 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:38:08,306 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5713
INFO 2025-03-18 06:38:08,887 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:38:10,273 basehttp "GET /login/refresh-captcha/?t=1742279890262 HTTP/1.1" 302 0
INFO 2025-03-18 06:38:10,279 basehttp "GET /login/refresh-captcha/?t=1742279890262 HTTP/1.1" 302 0
INFO 2025-03-18 06:38:10,281 captcha Generated CAPTCHA text: 24P6S
INFO 2025-03-18 06:38:10,304 captcha Generated CAPTCHA text: UNRLR
INFO 2025-03-18 06:38:10,350 auth_views Generated CAPTCHA for login form: 24P6S$_
INFO 2025-03-18 06:38:10,354 auth_views Generated CAPTCHA for login form: UNRLR$_
INFO 2025-03-18 06:38:10,358 basehttp "GET /login/ HTTP/1.1" 200 92756
INFO 2025-03-18 06:38:10,370 basehttp "GET /login/ HTTP/1.1" 200 91144
INFO 2025-03-18 06:40:37,178 autoreload /home/art/PycharmProjects/clon_open/chatgpt_app/urls.py changed, reloading.
INFO 2025-03-18 06:40:37,352 autoreload Watching for file changes with StatReloader
INFO 2025-03-18 06:40:40,547 autoreload Watching for file changes with StatReloader
INFO 2025-03-18 06:40:58,884 autoreload Watching for file changes with StatReloader
WARNING 2025-03-18 06:41:02,342 base Session data corrupted
INFO 2025-03-18 06:41:02,342 captcha Generated CAPTCHA text: D9SWT
INFO 2025-03-18 06:41:02,380 auth_views Generated CAPTCHA for login form: D9SWT$_
INFO 2025-03-18 06:41:02,415 basehttp "GET /login/ HTTP/1.1" 200 92328
INFO 2025-03-18 06:41:02,434 basehttp "GET /static/js/csrf.js HTTP/1.1" 200 2791
INFO 2025-03-18 06:41:02,434 basehttp "GET /static/css/styles.css HTTP/1.1" 200 4133
INFO 2025-03-18 06:41:02,434 basehttp "GET /static/js/auth.js HTTP/1.1" 200 5751
INFO 2025-03-18 06:41:02,434 basehttp "GET /static/js/logout.js HTTP/1.1" 200 2621
INFO 2025-03-18 06:41:03,040 basehttp "GET /static/images/favicon.svg HTTP/1.1" 200 1961
INFO 2025-03-18 06:41:04,559 basehttp "GET /login/refresh-captcha/?t=1742280064548 HTTP/1.1" 302 0
INFO 2025-03-18 06:41:04,561 captcha Generated CAPTCHA text: VJL9P
INFO 2025-03-18 06:41:04,594 basehttp "GET /login/refresh-captcha/?t=1742280064548 HTTP/1.1" 302 0
INFO 2025-03-18 06:41:04,596 captcha Generated CAPTCHA text: 68B7Z
INFO 2025-03-18 06:41:04,629 auth_views Generated CAPTCHA for login form: VJL9P$_
INFO 2025-03-18 06:41:04,632 auth_views Generated CAPTCHA for login form: 68B7Z$_
INFO 2025-03-18 06:41:04,637 basehttp "GET /login/ HTTP/1.1" 200 91804
INFO 2025-03-18 06:41:04,648 basehttp "GET /login/ HTTP/1.1" 200 92600
